participant_id,FCWrong,type,condition,RespondedPercent,truePercent,abs_error,condition_order,label,trial_order
P10,,textures,Visual,60,55,5,1,textures_3,25
P10,,textures,Visual,40,65,25,1,textures_4,36
P11,,textures,Visual,50,75,25,3,textures_5,1
P11,,textures,Visual,25,25,0,3,textures_0,8
P11,,textures,Visual,10,35,25,3,textures_1,16
P11,,textures,Visual,20,45,25,3,textures_2,22
P11,,textures,Visual,40,55,15,3,textures_3,25
P11,,textures,Visual,50,65,15,3,textures_4,36
P12,,textures,Visual,50,75,25,2,textures_5,1
P12,,textures,Visual,10,25,15,2,textures_0,8
P12,,textures,Visual,30,35,5,2,textures_1,16
P12,,textures,Visual,60,45,15,2,textures_2,22
P12,,textures,Visual,30,55,25,2,textures_3,25
P12,,textures,Visual,50,65,15,2,textures_4,36
P1,,position_aligned,Visual,60,55,5,2,position_aligned_3,4
P1,,position_aligned,Visual,60,65,5,2,position_aligned_4,10
P1,,position_aligned,Visual,80,75,5,2,position_aligned_5,18
P1,,position_aligned,Visual,25,25,0,2,position_aligned_0,24
P1,,position_aligned,Visual,33,35,2,2,position_aligned_1,27
P1,,position_aligned,Visual,40,45,5,2,position_aligned_2,35
P2,,position_aligned,Visual,50,55,5,2,position_aligned_3,4
P2,,position_aligned,Visual,65,65,0,2,position_aligned_4,10
P2,,position_aligned,Visual,75,75,0,2,position_aligned_5,18
P2,,position_aligned,Visual,20,25,5,2,position_aligned_0,24
P2,,position_aligned,Visual,25,35,10,2,position_aligned_1,27
P2,,position_aligned,Visual,45,45,0,2,position_aligned_2,35
P3,,position_aligned,Visual,70,55,15,3,position_aligned_3,4
P3,,position_aligned,Visual,70,65,5,3,position_aligned_4,10
P3,,position_aligned,Visual,75,75,0,3,position_aligned_5,18
P3,,position_aligned,Visual,25,25,0,3,position_aligned_0,24
P3,,position_aligned,Visual,30,35,5,3,position_aligned_1,27
P3,,position_aligned,Visual,50,45,5,3,position_aligned_2,35
P4,,position_aligned,Visual,50,55,5,1,position_aligned_3,4
P4,,position_aligned,Visual,60,65,5,1,position_aligned_4,10
P4,,position_aligned,Visual,70,75,5,1,position_aligned_5,18
P4,,position_aligned,Visual,20,25,5,1,position_aligned_0,24
P4,,position_aligned,Visual,30,35,5,1,position_aligned_1,27
P4,,position_aligned,Visual,50,45,5,1,position_aligned_2,35
P5,,position_aligned,Visual,50,55,5,1,position_aligned_3,4
P5,,position_aligned,Visual,50,65,15,1,position_aligned_4,10
P5,,position_aligned,Visual,75,75,0,1,position_aligned_5,18
P5,,position_aligned,Visual,25,25,0,1,position_aligned_0,24
P5,,position_aligned,Visual,25,35,10,1,position_aligned_1,27
P5,,position_aligned,Visual,50,45,5,1,position_aligned_2,35
P6,,position_aligned,Visual,60,55,5,3,position_aligned_3,4
P6,,position_aligned,Visual,55,65,10,3,position_aligned_4,10
P6,,position_aligned,Visual,90,75,15,3,position_aligned_5,18
P6,,position_aligned,Visual,20,25,5,3,position_aligned_0,24
P6,,position_aligned,Visual,35,35,0,3,position_aligned_1,27
P6,,position_aligned,Visual,50,45,5,3,position_aligned_2,35
