"participant_id","FCWrong","type","condition","RespondedPercent","truePercent","abs_error","condition_order","trial_order","raw_error"
"P11",NA,"position_aligned","Visual",80,75,5,3,18,5
"P11",NA,"position_aligned","Visual",10,25,15,3,24,-15
"P11",NA,"position_aligned","Visual",30,35,5,3,27,-5
"P11",NA,"position_aligned","Visual",40,45,5,3,35,-5
"P12",NA,"position_aligned","Visual",50,55,5,2,4,-5
"P12",NA,"position_aligned","Visual",60,65,5,2,10,-5
"P12",NA,"position_aligned","Visual",70,75,5,2,18,-5
"P12",NA,"position_aligned","Visual",20,25,5,2,24,-5
"P12",NA,"position_aligned","Visual",25,35,10,2,27,-10
"P12",NA,"position_aligned","Visual",33,45,12,2,35,-12
"P1",NA,"position_unaligned","Visual",60,65,5,2,2,-5
"P1",NA,"position_unaligned","Visual",70,75,5,2,7,-5
"P1",NA,"position_unaligned","Visual",30,25,5,2,17,5
"P1",NA,"position_unaligned","Visual",25,35,10,2,19,-10
"P1",NA,"position_unaligned","Visual",40,45,5,2,28,-5
"P1",NA,"position_unaligned","Visual",50,55,5,2,32,-5
"P2",NA,"position_unaligned","Visual",55,65,10,2,2,-10
"P2",NA,"position_unaligned","Visual",85,75,10,2,7,10
"P2",NA,"position_unaligned","Visual",15,25,10,2,17,-10
"P2",NA,"position_unaligned","Visual",30,35,5,2,19,-5
"P2",NA,"position_unaligned","Visual",40,45,5,2,28,-5
"P2",NA,"position_unaligned","Visual",50,55,5,2,32,-5
"P3",NA,"position_unaligned","Visual",75,65,10,3,2,10
"P3",NA,"position_unaligned","Visual",80,75,5,3,7,5
"P3",NA,"position_unaligned","Visual",25,25,0,3,17,0
"P3",NA,"position_unaligned","Visual",30,35,5,3,19,-5
"P3",NA,"position_unaligned","Visual",50,45,5,3,28,5
"P3",NA,"position_unaligned","Visual",55,55,0,3,32,0
"P4",NA,"position_unaligned","Visual",60,65,5,1,2,-5
"P4",NA,"position_unaligned","Visual",70,75,5,1,7,-5
"P4",NA,"position_unaligned","Visual",20,25,5,1,17,-5
"P4",NA,"position_unaligned","Visual",25,35,10,1,19,-10
"P4",NA,"position_unaligned","Visual",50,45,5,1,28,5
"P4",NA,"position_unaligned","Visual",50,55,5,1,32,-5
"P5",NA,"position_unaligned","Visual",66,65,1,1,2,1
"P5",NA,"position_unaligned","Visual",75,75,0,1,7,0
"P5",NA,"position_unaligned","Visual",25,25,0,1,17,0
"P5",NA,"position_unaligned","Visual",50,35,15,1,19,15
"P5",NA,"position_unaligned","Visual",50,45,5,1,28,5
"P5",NA,"position_unaligned","Visual",50,55,5,1,32,-5
"P6",NA,"position_unaligned","Visual",70,65,5,3,2,5
"P6",NA,"position_unaligned","Visual",80,75,5,3,7,5
"P6",NA,"position_unaligned","Visual",25,25,0,3,17,0
"P6",NA,"position_unaligned","Visual",30,35,5,3,19,-5
"P6",NA,"position_unaligned","Visual",40,45,5,3,28,-5
"P6",NA,"position_unaligned","Visual",60,55,5,3,32,5
"P7",NA,"position_unaligned","Visual",60,65,5,1,2,-5
"P7",NA,"position_unaligned","Visual",60,75,15,1,7,-15
"P7",NA,"position_unaligned","Visual",20,25,5,1,17,-5
"P7",NA,"position_unaligned","Visual",30,35,5,1,19,-5
"P7",NA,"position_unaligned","Visual",50,45,5,1,28,5
"P7",NA,"position_unaligned","Visual",50,55,5,1,32,-5
"P8",NA,"position_unaligned","Visual",80,65,15,3,2,15
"P8",NA,"position_unaligned","Visual",90,75,15,3,7,15
"P8",NA,"position_unaligned","Visual",40,25,15,3,17,15
"P8",NA,"position_unaligned","Visual",20,35,15,3,19,-15
"P8",NA,"position_unaligned","Visual",20,45,25,3,28,-25
"P8",NA,"position_unaligned","Visual",60,55,5,3,32,5
"P9",NA,"position_unaligned","Visual",65,65,0,2,2,0
"P9",NA,"position_unaligned","Visual",80,75,5,2,7,5
"P9",NA,"position_unaligned","Visual",20,25,5,2,17,-5
"P9",NA,"position_unaligned","Visual",25,35,10,2,19,-10
"P9",NA,"position_unaligned","Visual",40,45,5,2,28,-5
"P9",NA,"position_unaligned","Visual",50,55,5,2,32,-5
"P10",NA,"position_unaligned","Visual",75,65,10,1,2,10
"P10",NA,"position_unaligned","Visual",90,75,15,1,7,15
"P10",NA,"position_unaligned","Visual",25,25,0,1,17,0
"P10",NA,"position_unaligned","Visual",25,35,10,1,19,-10
"P10",NA,"position_unaligned","Visual",35,45,10,1,28,-10
"P10",NA,"position_unaligned","Visual",45,55,10,1,32,-10
"P11",NA,"position_unaligned","Visual",60,65,5,3,2,-5
"P11",NA,"position_unaligned","Visual",80,75,5,3,7,5
"P11",NA,"position_unaligned","Visual",25,25,0,3,17,0
"P11",NA,"position_unaligned","Visual",20,35,15,3,19,-15
"P11",NA,"position_unaligned","Visual",50,45,5,3,28,5
"P11",NA,"position_unaligned","Visual",50,55,5,3,32,-5
"P12",NA,"position_unaligned","Visual",75,65,10,2,2,10
